Африк	非洲
3 сарын 22	3月22日
1982 он	1982年
1981 он	1981年
12 сарын 18	12月18日
1980 он	1980年
3 сарын 23	3月23日
12 сарын 19	12月19日
3 сарын 24	3月24日
3 сарын 25	3月25日
12 сарын 20	12月20日
3 сарын 26	3月26日
3 сарын 27	3月27日
3 сарын 28	3月28日
3 сарын 29	3月29日
3 сарын 30	3月30日
3 сарын 31	3月31日
Адаг чуулганы галактик	仙女座星系
Санаа хот	萨那
1970 он	1970年
1971 он	1971年
1972 он	1972年
1973 он	1973年
1974 он	1974年
1975 он	1975年
1976 он	1976年
1977 он	1977年
1978 он	1978年
1979 он	1979年
1969 он	1969年
Мушгиа галактик	螺旋星系
XVI Бенедикт	本篤十六世
4 сарын 15	4月15日
4 сарын 13	4月13日
4 сарын 12	4月12日
4 сарын 14	4月14日
4 сарын 11	4月11日
4 сарын 10	4月10日
4 сарын 8	4月8日
4 сарын 9	4月9日
4 сарын 7	4月7日
4 сарын 6	4月6日
4 сарын 5	4月5日
4 сарын 4	4月4日
4 сарын 3	4月3日
4 сарын 1	4月1日
4 сарын 2	4月2日
4 сарын 16	4月16日
4 сарын 17	4月17日
4 сарын 18	4月18日
4 сарын 19	4月19日
4 сарын 20	4月20日
4 сарын 21	4月21日
4 сарын 22	4月22日
4 сарын 23	4月23日
4 сарын 24	4月24日
4 сарын 25	4月25日
4 сарын 26	4月26日
4 сарын 27	4月27日
4 сарын 28	4月28日
4 сарын 29	4月29日
4 сарын 30	4月30日
Хорст Көлэр	霍斯特·克勒
5 сарын 1	5月1日
5 сарын 2	5月2日
5 сарын 3	5月3日
5 сарын 4	5月4日
5 сарын 5	5月5日
5 сарын 6	5月6日
5 сарын 7	5月7日
5 сарын 8	5月8日
5 сарын 9	5月9日
5 сарын 10	5月10日
5 сарын 11	5月11日
5 сарын 12	5月12日
5 сарын 13	5月13日
5 сарын 14	5月14日
5 сарын 15	5月15日
Титан (сар)	土卫六
5 сарын 16	5月16日
5 сарын 17	5月17日
5 сарын 18	5月18日
5 сарын 19	5月19日
5 сарын 20	5月20日
5 сарын 21	5月21日
5 сарын 22	5月22日
5 сарын 23	5月23日
5 сарын 24	5月24日
5 сарын 25	5月25日
5 сарын 26	5月26日
5 сарын 27	5月27日
5 сарын 28	5月28日
5 сарын 29	5月29日
5 сарын 30	5月30日
5 сарын 31	5月31日
Пол Маккартни	保罗·麦卡特尼
12 сарын 21	12月21日
6 сарын 14	6月14日
6 сарын 15	6月15日
6 сарын 13	6月13日
6 сарын 10	6月10日
6 сарын 7	6月7日
6 сарын 11	6月11日
6 сарын 9	6月9日
6 сарын 12	6月12日
6 сарын 6	6月6日
6 сарын 8	6月8日
6 сарын 5	6月5日
6 сарын 3	6月3日
6 сарын 2	6月2日
6 сарын 1	6月1日
6 сарын 4	6月4日
Вальтер Ульбрихт	瓦爾特·烏布利希
Иваново	伊万诺沃
Ринго Старр	林格·斯塔
12 сарын 22	12月22日
Жорж Харрисон	乔治·哈里森
1968 он	1968年
1967 он	1967年
1966 он	1966年
1965 он	1965年
1964 он	1964年
6 сарын 16	6月16日
Иваново муж	伊万诺沃州
Палермо	巴勒莫
6 сарын 30	6月30日
6 сарын 29	6月29日
6 сарын 28	6月28日
6 сарын 26	6月26日
6 сарын 25	6月25日
6 сарын 22	6月22日
6 сарын 27	6月27日
6 сарын 24	6月24日
6 сарын 20	6月20日
6 сарын 23	6月23日
6 сарын 19	6月19日
6 сарын 18	6月18日
6 сарын 21	6月21日
6 сарын 17	6月17日
12 сарын 23	12月23日
Брюс Уиллис	布鲁斯·威利斯
Владимир хот	弗拉基米尔
Арнольд Шварценеггер	阿诺·施瓦辛格
7 сарын 15	7月15日
7 сарын 13	7月13日
7 сарын 12	7月12日
7 сарын 10	7月10日
7 сарын 9	7月9日
7 сарын 14	7月14日
7 сарын 8	7月8日
7 сарын 7	7月7日
7 сарын 6	7月6日
7 сарын 5	7月5日
7 сарын 2	7月2日
7 сарын 4	7月4日
7 сарын 3	7月3日
7 сарын 1	7月1日
7 сарын 11	7月11日
Владимир муж	弗拉基米尔州
12 сарын 24	12月24日
7 сарын 31	7月31日
7 сарын 30	7月30日
7 сарын 29	7月29日
7 сарын 28	7月28日
7 сарын 27	7月27日
7 сарын 25	7月25日
7 сарын 24	7月24日
7 сарын 23	7月23日
7 сарын 26	7月26日
7 сарын 22	7月22日
7 сарын 19	7月19日
7 сарын 21	7月21日
7 сарын 20	7月20日
7 сарын 17	7月17日
7 сарын 18	7月18日
7 сарын 16	7月16日
Хөлбөмбөг	足球
Луй де Фунес	路易·德菲内斯
Мюнстер	明斯特
12 сарын 25	12月25日
Рязань	梁赞
Аугсбург	奥格斯堡
Рязань муж	梁赞州
1963 он	1963年
Лех Качински	萊赫·卡欽斯基
12 сарын 26	12月26日
Холокост	納粹大屠殺
1962 он	1962年
IPhone	IPhone
Тула	圖拉 (圖拉州)
Өрнө Суматра	西苏门答腊省
8 сарын 14	8月14日
8 сарын 15	8月15日
8 сарын 13	8月13日
8 сарын 12	8月12日
8 сарын 11	8月11日
8 сарын 10	8月10日
8 сарын 8	8月8日
8 сарын 7	8月7日
8 сарын 9	8月9日
8 сарын 5	8月5日
8 сарын 4	8月4日
8 сарын 2	8月2日
8 сарын 3	8月3日
8 сарын 6	8月6日
8 сарын 1	8月1日
Тула муж	图拉州
12 сарын 27	12月27日
Мадрид	马德里
Брянск муж	布良斯克州
8 сарын 16	8月16日
Кока-Кола	可口可乐
8 сарын 29	8月29日
8 сарын 28	8月28日
8 сарын 30	8月30日
8 сарын 25	8月25日
8 сарын 26	8月26日
8 сарын 23	8月23日
8 сарын 27	8月27日
8 сарын 21	8月21日
8 сарын 20	8月20日
8 сарын 24	8月24日
8 сарын 18	8月18日
8 сарын 17	8月17日
8 сарын 22	8月22日
8 сарын 19	8月19日
8 сарын 31	8月31日
Майкл Жэксон	迈克尔·杰克逊
12 сарын 28	12月28日
Фрайбург	弗赖堡
Калуга	卡盧加
Богота	波哥大
Бразилиа	巴西利亚
9 сарын 15	9月15日
9 сарын 14	9月14日
9 сарын 13	9月13日
9 сарын 12	9月12日
9 сарын 8	9月8日
9 сарын 11	9月11日
9 сарын 7	9月7日
9 сарын 10	9月10日
9 сарын 5	9月5日
9 сарын 4	9月4日
9 сарын 9	9月9日
9 сарын 2	9月2日
9 сарын 6	9月6日
9 сарын 1	9月1日
9 сарын 3	9月3日
12 сарын 29	12月29日
Александр Лукашенко	亚历山大·格里戈里耶维奇·卢卡申科
9 сарын 30	9月30日
9 сарын 29	9月29日
9 сарын 28	9月28日
9 сарын 27	9月27日
9 сарын 26	9月26日
9 сарын 25	9月25日
Сантъяго	圣地亚哥-德智利
9 сарын 23	9月23日
9 сарын 22	9月22日
9 сарын 24	9月24日
9 сарын 21	9月21日
9 сарын 20	9月20日
9 сарын 18	9月18日
9 сарын 17	9月17日
9 сарын 19	9月19日
9 сарын 16	9月16日
12 сарын 30	12月30日
12 сарын 31	12月31日
10 сарын 1	10月1日
10 сарын 15	10月15日
10 сарын 12	10月12日
10 сарын 10	10月10日
10 сарын 14	10月14日
10 сарын 9	10月9日
10 сарын 8	10月8日
10 сарын 13	10月13日
10 сарын 7	10月7日
10 сарын 11	10月11日
10 сарын 6	10月6日
10 сарын 4	10月4日
10 сарын 5	10月5日
10 сарын 3	10月3日
10 сарын 2	10月2日
Ямаа	家山羊
10 сарын 31	10月31日
10 сарын 30	10月30日
10 сарын 29	10月29日
10 сарын 28	10月28日
10 сарын 26	10月26日
10 сарын 25	10月25日
10 сарын 24	10月24日
10 сарын 27	10月27日
10 сарын 22	10月22日
10 сарын 23	10月23日
10 сарын 20	10月20日
10 сарын 21	10月21日
10 сарын 19	10月19日
10 сарын 17	10月17日
10 сарын 16	10月16日
10 сарын 18	10月18日
11 сарын 15	11月15日
11 сарын 14	11月14日
11 сарын 13	11月13日
11 сарын 12	11月12日
11 сарын 11	11月11日
11 сарын 10	11月10日
11 сарын 7	11月7日
11 сарын 8	11月8日
11 сарын 9	11月9日
11 сарын 6	11月6日
11 сарын 5	11月5日
11 сарын 4	11月4日
11 сарын 3	11月3日
11 сарын 2	11月2日
11 сарын 1	11月1日
11 сарын 30	11月30日
11 сарын 29	11月29日
11 сарын 28	11月28日
11 сарын 27	11月27日
11 сарын 26	11月26日
11 сарын 25	11月25日
11 сарын 23	11月23日
11 сарын 24	11月24日
11 сарын 21	11月21日
11 сарын 20	11月20日
11 сарын 22	11月22日
11 сарын 19	11月19日
11 сарын 18	11月18日
11 сарын 17	11月17日
11 сарын 16	11月16日
Катманду	加德滿都
Их Карл	查理大帝
Канберра	堪培拉
Ио (дагуул)	木卫一
Орёл муж	奥廖尔州
Сидней	悉尼
Мельбурн	墨尔本
Улаан	红色
Перт	珀斯
Гал	火
Баруун Австрали	西澳大利亚州
Од аймаг	奥德省
Шинэ Өмнөд Вэльс	新南威爾士州
Позитрон	正電子
Агаар мандал	地球大气层
Хойд Нутаг Дэвсгэр	北領地
Австралийн Нийслэлийн Нутаг Дэвсгэр	澳大利亚首都领地
Виннипег нуур	溫尼伯湖
Манагуа	馬納瓜
Энселадус	土卫二
Белгород	别尔哥罗德
Жорж Орвелл	乔治·奥威尔
Антиох IV Эпифанес	安条克四世
Аугаа Антиох	安条克三世
Нил мөрөн	尼罗河
Циклид	慈鯛科
Воронеж	沃罗涅日
Воронеж муж	沃罗涅日州
Липецк	利佩茨克
Конго мөрөн	刚果河
Бантен	万丹省
Нигер мөрөн	尼日尔河
Төв Жава	中爪哇省
Алжир хот	阿爾及爾
Тунис хот	突尼斯市
Ростов муж	罗斯托夫州
Триполи	的黎波里
Дорно Жава	东爪哇省
Антофагаста	安托法加斯塔
Тегеран	德黑兰
Аддис-Абеб хот	亚的斯亚贝巴
Жакарта	雅加达
Анкара	安卡拉
Асмара	阿斯馬拉
Краснодар	克拉斯诺达尔
Краснодарын хязгаар	克拉斯诺达尔边疆区
1961 он	1961年
Белград	贝尔格莱德
Өрнө Жава	西爪哇省
Адыгей	阿迪格共和国
Ангилал:Википедиа загварууд	Category:維基百科模板
1960 он	1960年
Жава	爪哇岛
Дамаск	大马士革
Ямусукро хот	亚穆苏克罗
Квентин Тарантино	昆汀·塔伦蒂诺
Амазон мөрөн	亚马逊河
Абужа	阿布贾
Бага Зондын арлууд	小巽他群岛
Амман	安曼
Ангилал:Спортын загварууд	Category:体育模板
Бейрут	贝鲁特
Маскат	马斯喀特
Бужумбура	布琼布拉
Доха	多哈
Найроби	奈洛比
Лусака	路沙卡
Манама	麦纳麦
Нар хиртэлт	日食
Төв Калимантан	中加里曼丹省
Морони	莫洛尼
Өмнө Калимантан	南加里曼丹省
Монакогийн хунтайж II Альберт	阿尔贝二世 (摩纳哥)
Хоёртын тооллын систем	二进制
Антананариву	塔那那利佛
Өрнө Калимантан	西加里曼丹省
Хараре	哈拉雷
Астрахань	阿斯特拉罕
Ширээний теннис	乒乓球
Астур муж	阿斯图里亚斯
Виндхук	温得和克
Wikipedia:Ноорог	Wikipedia:沙盒
Wikipedia:Википедиад Тавтай морилно уу	Wikipedia:新手入門/主頁
Бүгд Найрамдах Халимаг Улс	卡尔梅克共和国
Балгас	鎮
Элст	埃利斯塔
Баск орон	巴斯克自治區
Газрын зураг	地图
Гол мөрөн	河流
Озаску	奥萨斯库
Арагон орон	阿拉贡自治区
Аммиак	氨
Донгхой нисэх онгоцны буудал	同海機場
Майли Сайрус	麥莉·希拉
Мишель Платини	米歇尔·普拉蒂尼
Арнаут Даниэль	阿爾諾·達尼埃爾
Куритиба	庫里奇巴
Ангилал:Иран дахь дэлхийн соёлын өв	Category:伊朗世界遺產
Өрнө Африк	西部非洲
Ангилал:Японы түүх	Category:日本历史
Хатуу диск	硬盘
Эрик Бана	艾瑞克·巴納
Ангилал:Туруутан	Category:偶蹄目
Хабаровск	伯力
Йоахим Лёв	约阿希姆·勒夫
Пакистаны Панжаб	旁遮普省
Анна Фэрис	安娜·法瑞絲
Котайк аймаг	科泰克省
Як-130	雅克-130
Ангилал:Тунисчууд	Category:突尼斯人
Бернард Кац	伯纳德·卡茨
Нагш-и Жахан талбай	伊玛目广场
Комодо үндэсний хүрээлэн	科莫多国家公园
Суматра арлын халуун орны ойн сан	苏门答腊热带雨林
Ужунг Кулон үндэсний хүрээлэн	乌戎库隆国家公园
Сундарбанс	蘇達班
Солтаниех	蘇丹尼耶
Ангилал:Узбек орны түүх	Category:烏茲別克歷史
Ангилал:Афганистаны түүх	Category:阿富汗历史
Загвар:Lang-lt	Template:Lang-lt
Аннэ Франк	安妮·弗蘭克
Рауль Альбиоль	魯爾·艾比奧爾
Загвар:Location map Turkey	Template:Location map Turkey
Ангилал:Тажикистаны түүх	Category:塔吉克歷史
Күнз	孔子
Сара Бернар	莎拉·伯恩哈特
Марлен Дитрих	玛莲娜·迪特里茜
Мэрилин Монро	玛丽莲·梦露
Корбин Блю	柯賓·布魯
Ангилал:Математик	Category:数学
Ангилал:Монголын түүх	Category:蒙古国历史
Ангилал:Казахстаны түүх	Category:哈薩克斯坦歷史
Фарерын арлууд	法罗群岛
Загвар:Country data Iran	Template:Country data Iran
Бали арал	巴厘岛
Юпитер	朱庇特
Сэргэн мандалт (ренессанс)	文艺复兴
Баркисимето	巴基西梅托
Ле Корбюзье	勒·柯布西耶
Мексик песо	墨西哥比索
Тогоруу	灰鹤
Ангилал:1888 онд төрөгсөд	Category:1888年出生
Ангилал:Ираны түүх	Category:伊朗歷史
Евро	欧元
Америк доллар	美元
Газрын Дундад тэнгис	地中海
Ангилал:Болгарын хөгжмийн зохиолчид	Category:保加利亚作曲家
Ангилал:Шинэ Зеландын газарзүй	Category:紐西蘭地理
Хятан улс	辽朝
